Epoch,F1_Score,Severe_Recall
1,0.00275429193774899,1.0
2,0.00275429193774899,1.0
3,0.00275429193774899,1.0
4,0.00275429193774899,1.0
5,0.00275429193774899,1.0
6,0.020899217230645976,1.0
7,0.016093978776340737,1.0
8,0.2182858146393198,0.967741935483871
9,0.25392063813501564,0.9516129032258065
10,0.171525929393772,0.9354838709677419
11,0.16774351828569833,0.967741935483871
12,0.04339931069125212,1.0
13,0.15940683443607664,0.9516129032258065
14,0.4464174891673441,0.8870967741935484
15,0.4990814611532617,0.8709677419354839
16,0.32548201306249225,0.9516129032258065
17,0.22785961704047514,0.967741935483871
18,0.49571333110182014,0.8709677419354839
19,0.3713373154139704,0.8870967741935484
20,0.27126995806709553,0.9516129032258065
21,0.3001489300841435,0.9193548387096774
22,0.3720660376212945,0.9354838709677419
23,0.5586967286969474,0.8548387096774194
24,0.5041412847386846,0.8548387096774194
25,0.35280495385250316,0.8870967741935484
26,0.42320893464511666,0.9032258064516129
27,0.48961122089623815,0.8709677419354839
28,0.011264550952647797,1.0
29,0.00275429193774899,1.0
30,0.26381607357057174,0.9354838709677419
31,0.1335484914198883,0.9838709677419355
32,0.41722298011415093,0.9032258064516129
33,0.5546645279690988,0.8387096774193549
34,0.3602509376991943,0.9516129032258065
35,0.5229222777420471,0.8387096774193549
36,0.5724009822770318,0.8064516129032258
37,0.6395455605482641,0.7741935483870968
38,0.6690894530824024,0.7096774193548387
39,0.6081152683569699,0.7419354838709677
40,0.49359304378070523,0.9032258064516129
41,0.5177097122787307,0.8387096774193549
42,0.6331605802366895,0.7580645161290323
43,0.697873815250525,0.7419354838709677
44,0.4350414686901905,0.9032258064516129
45,0.7323846381174094,0.6612903225806451
46,0.5914726545236444,0.8064516129032258
47,0.6591181227577183,0.7580645161290323
48,0.6569961922025401,0.7096774193548387
49,0.7304965129353068,0.6612903225806451
50,0.6195712689808516,0.7741935483870968
51,0.6194550632825835,0.7419354838709677
52,0.6541450294725407,0.7741935483870968
53,0.6894661441407105,0.7258064516129032
54,0.7201136081412542,0.6451612903225806
55,0.7530459919690661,0.5967741935483871
56,0.6936330042539912,0.7096774193548387
57,0.697765083106113,0.6935483870967742
58,0.6274942933659255,0.7258064516129032
59,0.6735592835078437,0.6774193548387096
60,0.602040303855181,0.7258064516129032
61,0.7017385716372133,0.6935483870967742
62,0.6902488134015983,0.6935483870967742
63,0.7222267983321028,0.6129032258064516
64,0.7133597808572782,0.6451612903225806
65,0.7157799776370357,0.6451612903225806
66,0.68081499107674,0.7258064516129032
67,0.7217492572982279,0.6129032258064516
68,0.6199995580924538,0.6612903225806451
69,0.7294363619130979,0.5967741935483871
70,0.6900199972653841,0.6612903225806451
71,0.7750700377789913,0.532258064516129
72,0.7828484716986459,0.5645161290322581
73,0.8003579839549321,0.5
74,0.7995186749554041,0.5
75,0.7639562217018833,0.5645161290322581
76,0.7961481968433516,0.5161290322580645
77,0.7850098121670873,0.5645161290322581
78,0.760277508314856,0.5967741935483871
79,0.8078181173339913,0.45161290322580644
80,0.7366292856242517,0.5645161290322581
