Model,Accuracy,F1 Score,Recall (Class 1)
RandomForest,0.9621951219512195,0.9436568691355031,0.0
LightGBM,0.9560975609756097,0.9416080018061059,0.016129032258064516
CatBoost,0.948780487804878,0.9401298080953095,0.06451612903225806
TabNet,0.8981707317073171,0.9161202621748636,0.25806451612903225
